"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"1","0",0,0.8209927,-0.1852225,-0.1261309,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.2789394,0.7337845,-0.0890118,1,0,1,0,0,1,0,0,1,0,0
"2","0",0,0.2958027,-0.1362101,-0.50273,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,0.8058677,0.9449144,-0.0890118,1,0,1,0,0,0,0,0,0,1,1
"3","0",0,-0.2126104,-0.0007235735,-0.0001514989,2.181906e-19,-0.198512,1,-0.253736,-0.1383331,1,-0.3456531,0.01308644,1.958242,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"4","0",1,1.75932,-0.01570826,0.3438017,2.181906e-19,-0.198512,1,0.07503342,-0.2417568,0,-0.3456531,-0.04095688,1.090726,-0.0890118,1,1,0,0,1,1,1,0,0,0,0
"5","0",1,0.668758718339675,-0.161184565633659,0.373601465495477,-0.779623006381831,0.68548216510379,1,0.0314241350296592,-0.169360192417493,0.119352088661552,-0.20366001680329,-0.212334534206029,-1.6192528456756,-0.0890117975074001,2,0,1,0,1,1,0,1,0,0,0
"6","0",0,0.1767772,-0.1618089,-0.3103706,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.3427807,-0.2339117,-0.0890118,1,0,1,0,0,0,0,0,0,1,1
"7","0",0,0.09606898,-0.2342349,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.435826,0.7856492,-0.0890118,1,0,1,0,0,0,0,0,1,0,1
"8","0",0,-0.6613727,-0.2089482,-0.1508246,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.6640701,0.2052425,-0.0890118,1,0,1,0,0,0,0,0,1,0,1
"9","0",0,-0.1219605,-0.1952123,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.408229,0.6187248,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"10","0",0,-0.09738209,-0.1852225,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3246629,-0.1819889,-0.01659377,-0.0890118,1,0,1,0,0,1,1,0,0,0,1
"11","0",0,0.2590042,-0.193027,-0.0001514989,1.868127,0.6854822,1,0.3968277,-0.1693602,0.05785602,-0.3456531,-0.4502953,0.7627274,0.2014672,2,0,1,0,0,0,0,0,1,0,1
"12","0",0,0.7030718,-0.1483851,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.3075667,0.4780934,-0.0890118,1,0,1,0,0,1,1,0,0,0,0
"13","0",1,0.5042356,-0.2267426,0.1922915,2.181906e-19,-0.198512,1,-0.1365654,-0.2417568,0,-0.3456531,-0.2947884,-0.4466232,-0.0890118,1,0,1,1,0,0,0,1,0,0,1
"14","0",0,0.347306828502632,-0.011649905615567,0.0991253243527452,2.18190576893974e-19,-0.198511962336195,1,-0.201803474484667,-0.0466996493360286,1,1.75214091579458,1.78539030936477,-0.763560429488882,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,1
"15","0",0,0.08274419,0.3326856,-0.4736835,2.181906e-19,-0.198512,1,-0.253736,-0.1383331,1,1.087243,3.862952,1.35208,-0.0890118,1,0,1,0,0,0,0,0,1,0,1
"16","0",1,0.02709767,-0.2308009,0.3681605,2.181906e-19,-0.198512,1,0.2645931,-0.2417568,0,-0.3456531,-0.1568169,-0.2844699,-0.0890118,1,1,0,0,1,1,0,0,1,0,1
"17","0",0,0.06734819,-0.2233086,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.386626,0.1120444,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"18","0",0,-0.1938315,-0.2242451,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.4048369,0.6998442,-0.0890118,1,0,1,0,0,0,0,1,0,0,1
"19","0",0,-0.3917011,-0.1252838,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.07011323,0.64315,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"20","0",0,0.739387,-0.222372,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.4151085,0.09690782,-0.0890118,1,0,1,0,0,1,0,1,0,0,0
"21","0",0,0.830865470345125,-0.180539782587984,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.0379238912705974,-1.26097988225283,-0.0890117975074001,1,0,1,0,0,0,0,0,0,0,0
"22","0",0,-1.345494,-0.2229964,-0.0001514989,2.181906e-19,-0.198512,1,-0.2018035,-0.04669965,1,0.006860222,-0.6326707,-0.08427383,-0.0890118,1,1,0,1,0,0,1,0,0,0,1
