"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"1","0",1,-0.9378794,17.28629,0.5217633,-1.126568,-0.198512,0.5,0.6265385,-0.2417568,0,-0.3450358,0.1502095,0.9997103,0.2014672,2,1,0,0,1,0,1,0,0,0,1
"2","0",1,-3.18031,-0.09500221,-1.798267,-0.5379661,-0.198512,0.5,-0.04969851,-0.1693602,0.1562151,-0.2098336,-0.0854495,0.2000033,0.2014672,2,1,0,0,1,1,0,0,1,0,0
"3","0",1,0.7925481,-0.1908418,0.16584,2.181906e-19,-0.198512,1,0.1444918,-0.2417568,0,-0.3438011,-0.2971045,0.8700276,-0.0890118,1,1,0,1,0,0,0,0,0,1,0
"4","0",0,0.5126585,1.161214,-0.0001514989,2.181906e-19,-0.198512,0.5,0.8599419,1.826718,1,0.9934037,0.238362,1.143987,0.2014672,0.5,1,0,0,1,1,0,1,0,0,1
"5","0",0,0.374094485989053,-0.224245111194524,0.150521588659435,2.18190576893974e-19,-0.198511962336195,1,-0.16581409216705,0.0168025205223347,1,3.13873463252906,-0.485607999449244,-0.780393490312144,-0.0890117975074001,1,1,0,0,1,0,0,0,0,1,1
"7","0",0,-0.216752866507814,-0.235171443346159,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,-0.0462328584028936,-0.11907896417626,-0.903017387425982,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,1
"8","0",1,-4.03206092840099,-0.0450532639077086,-0.407387371607812,2.18190576893974e-19,-0.198511962336195,1,-0.0217393336382206,-0.241756803005203,0,-0.345653140066393,0.175138755466633,-1.40613282795705,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,0
"9","0",1,1.388919,1.540201,2.136728,2.181906e-19,-0.198512,1,1.224994,-0.2417568,0,-0.2653962,-0.03415314,0.9268241,-0.0890118,1,1,0,0,1,1,0,0,0,1,0
"10","0",0,0.507894692712461,-0.0338147508374554,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.0192775192125855,0.275361844049873,1,2.2892453385724,1.58891812834148,-0.706875795463966,-0.0890117975074001,1,1,0,0,1,1,0,0,0,0,1
"11","0",1,-3.035601,0.2287294,0.279096,-0.1433529,-0.198512,0.5,0.3219182,0.2753618,0.4620645,-0.335158,0.6605204,1.821267,-0.0890118,2,1,0,0,0,1,0,1,0,0,0
"12","0",1,0.273986,-0.134337,-0.0001514989,-0.08730381,-0.198512,0.5,0.0100298,0.01680252,0.4545455,0.7513981,1.750667,1.094937,-0.0890118,2,1,0,0,1,0,1,0,0,0,1
"13","0",1,-3.393783,0.8293655,0.5847112,2.181906e-19,-0.198512,1,0.3156465,-0.2417568,0,0.8347419,-0.09270024,0.4357076,-0.0890118,1,1,0,0,1,1,1,0,0,0,0
"15","0",1,0.969015219392359,-0.209260427100853,0.209618921885043,3.74533336772459,-0.198511962336195,0.5,1.3207701331414,-0.241756803005203,0,0.138975563244632,-0.362768491676082,-0.546012610786435,-0.0890117975074001,2,1,0,0,1,1,0,1,0,0,0
"16","0",1,1.02908,0.03455287,1.046189,2.181906e-19,-0.198512,1,0.5668688,-0.2417568,0,-0.3456531,2.520315,-0.1892967,-0.0890118,1,1,0,0,1,0,0,0,0,1,0
"17","0",1,-0.507965081141114,-0.227991282217942,0.579353937263953,0.150511765173827,-0.198511962336195,0.5,1.13589959270205,-0.241756803005203,0,-0.332071189145575,-0.05038378742627,-1.47718084275522,-0.0890117975074001,0.5,1,0,0,1,0,0,0,1,0,1
"19","0",0,-3.78034,1.808677,-1.208047,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,-0.3456531,-0.4392,0.6438112,-0.0890118,1,1,0,0,1,0,0,1,0,0,0
"20","0",0,-2.864727,-0.1614967,2.929603,-3.492152,-0.198512,0.5,4.37682,4.92943,0.625,3.181333,-0.306575,0.8951143,-0.0890118,0.5,1,0,0,1,1,0,0,0,1,0
"21","0",1,1.176965,-0.1870956,0.6192823,2.181906e-19,-0.198512,1,0.5668688,-0.2417568,0,-0.3456531,-0.3215069,0.7660248,-0.0890118,1,1,0,0,1,1,0,0,1,0,0
"22","0",0,-0.145779382239669,-0.2014559041354,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,-0.0980912164642008,-0.0502650624462264,-0.633560201106887,-0.0890117975074001,1,1,0,1,0,1,1,0,0,0,1
"23","0",1,-3.06604829038555,-0.227991282217942,0.251054020959655,2.18190576893974e-19,-0.198511962336195,1,0.0832980818555396,-0.241756803005203,0,1.9453750357135,-0.460280586153673,-0.802709027512221,-0.0890117975074001,1,1,0,0,1,0,0,0,0,1,0
"24","0",1,-3.318736,-0.1031189,1.004419,-0.8780435,0.6854822,0.6666667,1.883178,-0.2417568,0,-0.3191066,-0.04089469,1.978877,-0.0890118,3,1,0,1,0,1,0,0,0,1,0
"25","0",0,1.03874597728227,-0.192402657495473,0.708849085280972,2.18190576893974e-19,-0.198511962336195,1,0.566868772605273,1.30959913816002,1,3.21590480821552,-0.0505740791607509,-0.700615942719802,-0.0890117975074001,1,1,0,0,0,1,0,0,0,0,0
"26","0",0,-1.013271,-0.2332984,-0.0001514989,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,0.134654,-0.5338826,0.2480174,-0.0890118,1,1,0,0,0,0,0,0,1,0,1
"27","0",1,-0.1530977,-0.2145675,0.1295111,2.181906e-19,-0.198512,1,-0.1805264,-0.2417568,0,0.8014044,-0.399684,0.8728467,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"28","0",1,-0.793861188489738,10.8238375987016,-0.170328380538518,2.18190576893974e-19,-0.198511962336195,1,0.447705231478702,-0.241756803005203,0,-0.345035778660902,0.710903215617969,-1.35018924678495,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,1
"29","0",0,0.3330155,0.07669729,0.2928239,2.181906e-19,-0.198512,0.5,0.2737956,0.7924805,1,3.596817,1.228548,0.3968606,0.2014672,2,1,0,0,1,1,0,0,0,0,1
"30","0",1,-0.265702477739442,-0.0859489642466857,0.138886278010201,2.18190576893974e-19,-0.198511962336195,1,0.341788596547215,-0.241756803005203,0,2.86833033692367,-0.280590476047338,-1.39751169870527,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,1
"31","0",1,0.4786906,-0.2192502,0.2532304,2.181906e-19,-0.198512,1,-0.09389394,-0.2417568,0,2.349747,-0.01841671,-0.1986234,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"32","0",1,0.4432729,-0.2320496,0.5364121,2.181906e-19,-0.198512,1,0.1043993,-0.2417568,0,-0.3456531,-0.3368313,0.442816,-0.0890118,1,1,0,1,0,0,1,0,0,0,1
"33","0",1,-4.18588283788487,0.240280095709276,-0.0540589813170317,2.18190576893974e-19,-0.198511962336195,1,-0.170386033243229,-0.241756803005203,0,-0.345035778660902,0.470410812889947,-1.51486643592593,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,0
"35","0",1,-2.65208232572427,2.6062992779162,-0.268851838338151,2.18190576893974e-19,-0.198511962336195,1,0.0538149233771014,-0.241756803005203,0,-0.345035778660902,-0.244981306794591,-0.989372981749791,-0.0890117975074001,1,1,0,0,1,1,0,1,0,0,0
"36","0",1,1.375249,0.6982495,-2.199393,2.181906e-19,-0.198512,1,-0.09389394,-0.2417568,0,-0.3456531,0.6381929,0.2685322,-0.0890118,1,1,0,0,1,1,0,0,1,0,0
"37","0",0,1.40341712894018,-0.1980219140306,0.134952036279884,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,7.10096013297512,-0.593112961945479,-0.827587321553445,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,0
"38","0",0,-4.09247123845413,3.19257504308108,0.102808444270488,2.18190576893974e-19,-0.198511962336195,1,-0.0192775192125855,0.275361844049873,1,-0.345653140066393,8.20774767532503,-1.85776478964966,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,0
"39","0",0,-0.244438048600738,-0.230800910485505,-1.79985782232734,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,0.222319352986019,-0.546330163014934,-0.899962686166557,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,1
"40","0",0,1.374558,-0.2220598,0.05794135,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,-0.3456531,-0.4614909,-0.221357,-0.0890118,1,1,0,1,0,0,0,0,0,1,0
"42","0",1,-1.153147,0.6170825,5.132192,2.181906e-19,-0.198512,1,3.667583,-0.2417568,0,-0.3456531,0.7104331,0.3980101,-0.0890118,1,1,0,0,1,0,0,0,0,0,1
