"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"1","0",0,0.935047365053909,-0.0912560398631942,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.376709286781448,-0.503156037524508,-0.0890117975074001,1,0,1,0,0,1,0,1,0,0,0
"2","0",0,-0.2605245,-0.03568784,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,0.07028144,0.2359634,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"3","0",1,1.12918884147611,-0.207699522507762,4.3807522287293,2.18190576893974e-19,-0.198511962336195,1,2.79633480816368,-0.241756803005203,0,-0.31972396103574,-0.242810152122346,-1.01136609017234,-0.0890117975074001,1,1,0,0,1,1,0,1,0,0,0
"4","0",0,0.292695908214595,-0.236107986102014,-0.360092763573154,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.593112961945479,-0.827872381407978,-0.0890117975074001,1,0,1,0,0,1,0,0,1,0,1
"5","0",1,0.1938301,-0.1952123,-0.0001514989,2.181906e-19,0.6854822,1,1.446088,-0.2417568,0,-0.2876212,-0.4650442,0.8974302,-0.0890118,2,1,0,1,0,1,0,0,0,1,1
"6","0",0,0.524326297046914,-0.214255321798743,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.059318533686471,-1.12940087446019,-0.0890117975074001,1,0,1,0,0,1,1,0,0,0,1
"7","0",1,-3.45495260641907,-0.127156845504281,0.0939354735595615,2.18190576893974e-19,-0.198511962336195,1,-0.0926044203189996,-0.241756803005203,0,-0.304289925898446,-0.460280586153673,-0.80280883744264,-0.0890117975074001,1,1,0,0,1,0,0,0,0,1,0
"8","0",0,-0.2666,0.5580803,-0.3349806,2.181906e-19,-0.198512,1,-0.253736,-0.1383331,1,0.3902417,3.105372,1.635207,-0.0890118,1,0,1,0,0,1,1,0,0,0,1
"9","0",0,0.8049063,-0.2161284,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,0.2336017,0.8792162,-0.0890118,1,0,1,0,0,1,0,0,0,1,0
"10","0",0,0.8410144,-0.2186259,0.09912532,2.181906e-19,-0.198512,1,-0.2018035,-0.04669965,1,-0.3456531,-0.2110342,0.2576787,-0.0890118,1,1,0,0,1,1,0,0,1,0,0
"11","0",0,-0.6304427,-0.186159,-1.197165,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.4760116,0.6017543,-0.0890118,1,0,1,0,0,0,0,1,0,0,1
"12","0",1,-1.169717,2.593188,0.4476824,2.181906e-19,-0.198512,1,0.3088472,-0.2417568,0,-0.3456531,0.1284919,0.2984971,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"13","0",1,0.2512717,-0.2183137,0.365733,-0.7632099,0.6854822,1,0.02591436,-0.1693602,0.1212961,-0.3456531,-0.2373102,-0.3869829,0.2014672,2,0,1,0,1,1,0,0,1,0,1
"14","0",0,0.237808826509172,-0.21987457833387,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.320443838252042,-0.552323883452147,-0.0890117975074001,1,0,1,0,0,1,1,0,0,0,1
"15","0",0,0.1174715,-0.2201868,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.319724,-0.2193163,0.07378466,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"16","0",0,-0.4039903,-0.1970854,-0.0001514989,1.489228,0.6854822,1,0.269634,-0.1693602,0.07050055,-0.3456531,-0.2064237,0.1762213,0.2014672,2,0,1,0,0,1,0,0,1,0,1
"17","0",0,0.5226003,-0.2348593,-0.43409,1.043455,0.6854822,1,0.1199908,-0.1693602,0.09490239,-0.3456531,-0.3208983,0.2591279,0.2014672,2,0,1,0,0,0,0,0,1,0,1
"18","0",0,0.324316390505267,-0.15587749001715,-0.184307494771771,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.217968650991313,-0.852358718149219,-0.0890117975074001,1,0,1,0,0,1,0,0,1,0,1
"19","0",0,-0.6520523,-0.06721811,-0.0001514989,-0.4901236,-0.198512,0.25,0.5308794,1.246097,1,0.7612759,-0.6379735,0.77321,0.4919462,4,1,0,0,0,0,0,0,1,0,1
"20","0",0,0.0106660607093722,-0.153067861749587,-0.39717508456316,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.255666419516746,-0.509516887357859,-0.0890117975074001,1,0,1,0,0,1,0,1,0,0,1
"21","0",0,-0.1457794,-0.2120701,-0.3600928,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.5250684,-0.4820008,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"22","0",0,0.4429968,-0.2261182,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.3925033,0.6004989,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"23","0",0,-0.1906556,-0.2080117,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.3583321,0.07523648,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"24","0",0,0.149920455426149,-0.201143723216781,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.30658511884451,-0.616644375826855,-0.0890117975074001,1,0,1,0,0,1,1,0,0,0,1
"25","0",1,-0.9146128,-0.1536922,0.08908045,2.181906e-19,-0.198512,1,0.0348824,-0.2417568,0,-0.06845787,-0.3628947,-0.246439,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"26","0",0,0.4395447,-0.2251817,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.1238066,-0.443578,-0.0890118,1,0,1,0,0,1,0,1,0,0,1
"27","0",0,0.06783147,-0.2276791,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,0.03525885,-0.4138362,0.2084914,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"28","0",0,-0.341923,-0.2214355,-0.0001514989,2.181906e-19,-0.198512,1,-0.253736,-0.1383331,1,-0.3456531,0.07661213,2.171004,-0.0890118,1,0,1,0,0,1,1,0,0,0,1
"29","0",0,-0.400331168715008,-0.218938035578016,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.454323430526805,-1.0806492782903,-0.0890117975074001,1,0,1,0,0,0,0,1,0,0,1
"30","0",0,0.5336467,-0.2236207,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.4482572,-0.4894809,-0.0890118,1,0,1,0,0,0,0,1,0,0,0
"31","0",0,0.1494372,-0.2283035,-0.0001514989,2.181906e-19,-0.198512,1,-0.253736,-0.1383331,1,-0.3456531,0.4131889,1.939964,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"32","0",0,0.34910187771564,-0.235483624264777,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.190398314154271,-0.863068679830833,-0.0890117975074001,1,0,1,0,0,1,0,0,1,0,1
"33","0",0,-0.932079977891318,-0.207387341589144,-0.209419676029111,2.18190576893974e-19,-0.198511962336195,1,-0.16581409216705,0.0168025205223347,1,1.37122892860617,-0.655888203642215,-0.696529033490098,-0.0890117975074001,1,1,0,0,1,1,0,0,0,0,1
"34","0",0,0.986137227270277,-0.183037229936929,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.0572495539104589,-0.93791944766234,-0.0890117975074001,1,0,1,0,0,1,0,0,1,0,0
"35","0",0,0.1694589,-0.1399563,-0.5299348,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,0.02909545,0.8132243,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"36","0",1,-2.939497,0.3239446,1.594891,2.181906e-19,-0.198512,1,1.079161,-0.2417568,0,1.63299,1.918975,1.418664,-0.0890118,1,0,0,0,1,1,0,0,0,1,0
"37","0",0,0.381550844258469,-0.232986176915832,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.322976200941391,-0.619646735787779,-0.0890117975074001,1,0,1,0,0,0,1,0,0,0,1
"38","0",0,0.2113664,-0.2005194,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,0.2623868,-0.3165716,-0.0890118,1,0,1,0,0,1,0,0,1,0,1
"39","0",1,-3.24030614475597,0.882124064388183,-1.10734757052075,1.75899712570897,-0.198511962336195,0.5,0.964510416974507,-0.241756803005203,0,-0.345653140066393,-0.39261443509399,-1.06147639841118,0.201467224166062,0.5,1,0,0,1,1,0,1,0,0,0
"40","0",0,-0.0624476745435118,-0.218938035578016,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.291535025893774,-1.05759901384457,-0.0890117975074001,1,0,1,0,0,0,0,1,0,0,1
"41","0",0,0.7070071,-0.173984,-0.0001514989,2.181906e-19,-0.198512,1,-0.2713204,-0.1693602,1,-0.3456531,-0.1198975,-0.01485643,-0.0890118,1,0,1,0,0,1,1,0,0,0,0
"42","0",0,-0.181404205082434,-0.213943140880125,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.271320424694265,-0.169360192417493,1,-0.345653140066393,-0.261647089326132,-1.47403522639674,-0.0890117975074001,1,0,1,0,0,1,0,0,1,0,1
"43","0",1,-0.715293265243485,-0.164618555738458,0.213385749073644,2.18190576893974e-19,-0.198511962336195,1,-0.121794505651529,-0.241756803005203,0,-0.345653140066393,-0.313126433830824,-0.886305399078232,-0.0890117975074001,1,1,0,0,1,0,0,0,1,0,1
